Run on a MSNT machine on 02/13/17 11:13:47.
Optimal solution found within time limit:,Yes

Renewable Capacity (MW),         0.00
Renewable Penetration for Input (%),         0.00
hydrogen use,         1.00

actual operating profit, 449019395.27
total electricity input (MWh),   7884006.26
total electricity output (MWh),         0.00
output to input ratio,         0.00
input capacity factor,         0.90
output capacity factor,         0.00
average regup (MW),         0.00
average regdn (MW),         0.00
average spinres (MW),         0.00
average nonspinres (MW),         0.00
number of input power system starts,      8760.00
number of output power system starts,      8760.00
arbitrage revenue ($),-2.294246E+8
regup revenue ($),         0.00
regdn revenue ($),         0.00
spinres revenue ($),         0.00
nonspinres revenue ($),         0.00
hydrogen revenue ($), 871160912.20
startup costs ($),         0.00

Interval, In Pwr (MW), Out Pwr (MW), Storage Level (MW-h), In Reg Up (MW), Out Reg Up (MW), In Reg Dn (MW), Out Reg Dn (MW), In Spin Res (MW), Out Spin Res (MW), In Nonspin (MW), Out Nonspin (MW), H2 Out (kg), Renewable Input (MW), Nonrenewable Input (MW)
       31.00,      917.52,        0.00,      333.33,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       32.00,      917.52,        0.00,      344.09,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       33.00,      917.52,        0.00,      354.84,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       34.00,      917.52,        0.00,      365.59,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       35.00,      917.52,        0.00,      376.34,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       36.00,      917.52,        0.00,      387.10,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       37.00,      917.52,        0.00,      397.85,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       38.00,      917.52,        0.00,      408.60,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       39.00,      917.52,        0.00,      419.35,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       40.00,      917.52,        0.00,      430.11,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       41.00,      917.52,        0.00,      440.86,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       42.00,      917.52,        0.00,      451.61,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       43.00,      917.52,        0.00,      462.37,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       44.00,      917.52,        0.00,      473.12,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       45.00,      917.52,        0.00,      483.87,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       46.00,      917.52,        0.00,      494.62,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       47.00,      917.52,        0.00,      505.38,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       48.00,      917.52,        0.00,      516.13,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       49.00,      917.52,        0.00,      526.88,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       50.00,      917.52,        0.00,      537.63,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       51.00,      917.52,        0.00,      548.39,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       52.00,      917.52,        0.00,      559.14,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       53.00,      917.52,        0.00,      569.89,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       54.00,      917.52,        0.00,      580.65,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       55.00,      917.52,        0.00,      591.40,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       56.00,      917.52,        0.00,      602.15,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       57.00,      917.52,        0.00,      612.90,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       58.00,      917.52,        0.00,      623.66,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       59.00,      917.52,        0.00,      634.41,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       60.00,      917.52,        0.00,      645.16,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       61.00,      917.52,        0.00,      655.91,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       62.00,      917.52,        0.00,      666.67,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       63.00,      917.52,        0.00,      677.42,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       64.00,      917.52,        0.00,      688.17,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       65.00,      917.52,        0.00,      698.92,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       66.00,      917.52,        0.00,      709.68,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       67.00,      917.52,        0.00,      720.43,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       68.00,      917.52,        0.00,      731.18,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       69.00,      917.52,        0.00,      741.94,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       70.00,      917.52,        0.00,      752.69,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       71.00,      917.52,        0.00,      763.44,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       72.00,      917.52,        0.00,      774.19,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       73.00,      917.52,        0.00,      784.95,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       74.00,      917.52,        0.00,      795.70,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       75.00,      917.52,        0.00,      806.45,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       76.00,      917.52,        0.00,      817.20,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       77.00,      917.52,        0.00,      827.96,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       78.00,      917.52,        0.00,      838.71,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       79.00,      917.52,        0.00,      849.46,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       80.00,      917.52,        0.00,      860.22,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       81.00,      917.52,        0.00,      870.97,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       82.00,      917.52,        0.00,      881.72,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       83.00,      917.52,        0.00,      892.47,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       84.00,      917.52,        0.00,      903.23,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       85.00,      917.52,        0.00,      913.98,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       86.00,      917.52,        0.00,      924.73,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       87.00,      917.52,        0.00,      935.48,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       88.00,      917.52,        0.00,      946.24,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       89.00,      917.52,        0.00,      956.99,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       90.00,      917.52,        0.00,      967.74,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       91.00,      917.52,        0.00,      978.49,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       92.00,      917.52,        0.00,      989.25,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       93.00,      917.52,        0.00,     1000.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       94.00,      917.52,        0.00,     1010.75,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       95.00,      917.52,        0.00,     1021.51,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       96.00,      917.52,        0.00,     1032.26,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       97.00,      917.52,        0.00,     1043.01,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       98.00,      917.52,        0.00,     1053.76,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
       99.00,      917.52,        0.00,     1064.52,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      100.00,      917.52,        0.00,     1075.27,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      101.00,      917.52,        0.00,     1086.02,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      102.00,      917.52,        0.00,     1096.77,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      103.00,      917.52,        0.00,     1107.53,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      104.00,      917.52,        0.00,     1118.28,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      105.00,      917.52,        0.00,     1129.03,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      106.00,      917.52,        0.00,     1139.78,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      107.00,      917.52,        0.00,     1150.54,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      108.00,      917.52,        0.00,     1161.29,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      109.00,      917.52,        0.00,     1172.04,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      110.00,      917.52,        0.00,     1182.80,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      111.00,      917.52,        0.00,     1193.55,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      112.00,      917.52,        0.00,     1204.30,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      113.00,      917.52,        0.00,     1215.05,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      114.00,      917.52,        0.00,     1225.81,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      115.00,      917.52,        0.00,     1236.56,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      116.00,      917.52,        0.00,     1247.31,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      117.00,      917.52,        0.00,     1258.06,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      118.00,      917.52,        0.00,     1268.82,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      119.00,      917.52,        0.00,     1279.57,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      120.00,      917.52,        0.00,     1290.32,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      121.00,      917.52,        0.00,     1301.08,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      122.00,      917.52,        0.00,     1311.83,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      123.00,      917.52,        0.00,     1322.58,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      124.00,      917.52,        0.00,     1333.33,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      125.00,      917.52,        0.00,     1344.09,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      126.00,      917.52,        0.00,     1354.84,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      127.00,      917.52,        0.00,     1365.59,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      128.00,      917.52,        0.00,     1376.34,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      129.00,      917.52,        0.00,     1387.10,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      130.00,      917.52,        0.00,     1397.85,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      131.00,      917.52,        0.00,     1408.60,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      132.00,      917.52,        0.00,     1419.35,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      133.00,      917.52,        0.00,     1430.11,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      134.00,      917.52,        0.00,     1440.86,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      135.00,      917.52,        0.00,     1451.61,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      136.00,      917.52,        0.00,     1462.37,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      137.00,      917.52,        0.00,     1473.12,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      138.00,      917.52,        0.00,     1483.87,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      139.00,      917.52,        0.00,     1494.62,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      140.00,      917.52,        0.00,     1505.38,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      141.00,      917.52,        0.00,     1516.13,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      142.00,      917.52,        0.00,     1526.88,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      143.00,      917.52,        0.00,     1537.63,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      144.00,      917.52,        0.00,     1548.39,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      145.00,      917.52,        0.00,     1559.14,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      146.00,      917.52,        0.00,     1569.89,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      147.00,      917.52,        0.00,     1580.65,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      148.00,      917.52,        0.00,     1591.40,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      149.00,      917.52,        0.00,     1602.15,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      150.00,      917.52,        0.00,     1612.90,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      151.00,      917.52,        0.00,     1623.66,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      152.00,      917.52,        0.00,     1634.41,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      153.00,      917.52,        0.00,     1645.16,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      154.00,      917.52,        0.00,     1655.91,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      155.00,      917.52,        0.00,     1666.67,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      156.00,      917.52,        0.00,     1677.42,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      157.00,      917.52,        0.00,     1688.17,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      158.00,      917.52,        0.00,     1698.92,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      159.00,      917.52,        0.00,     1709.68,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      160.00,      917.52,        0.00,     1720.43,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      161.00,      917.52,        0.00,     1731.18,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      162.00,      917.52,        0.00,     1741.94,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      163.00,      917.52,        0.00,     1752.69,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      164.00,      917.52,        0.00,     1763.44,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      165.00,      917.52,        0.00,     1774.19,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      166.00,      917.52,        0.00,     1784.95,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      167.00,      917.52,        0.00,     1795.70,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      168.00,      917.52,        0.00,     1806.45,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
      169.00,      917.52,        0.00,     1817.20,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16574.60,        0.00,      917.52
